player,uid,level,rank,rank_div,rank_score,kills,damage,headshots,games_played,wins,kdr,damage_per_game
Monkeyman094998,2796573001,47.0,Bronze,4,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent676,2796540443,18.0,Rookie,4,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Santoson0815,2796612897,13.0,Unranked,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Gighen 00,2796653717,21.0,Unranked,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Semy,2796558040,47.0,Gold,3,6389.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JEFFSR17,2796624985,57.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kpz_Mito,2796611528,29.0,Unranked,0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Bielband2,2796511126,12.0,Unranked,0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
diediedie1111,1008248077573,9.0,Rookie,4,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,1008248045994,15.0,Rookie,4,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diegolc27,2796623907,23.0,Unranked,0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
silentspiral,2796590354,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anatoliydrpu,2796605128,6.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1lW1llyVert,2796602296,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irving,2796568613,51.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoofyTokez,2796539875,26.0,Bronze,3,1551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eDirtyTati,2796632294,4.0,Unranked,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoki_1120,2796599518,91.0,Rookie,4,1.0,0.0,0.0,751.0,0.0,0.0,0.0,0.0
yung_kidddo,2796620361,85.0,Rookie,1,994.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Ozyure,2796558173,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StakingHawk7462,2796510834,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mr Moonkeyman,2796649963,68.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CosmicTamales,2796563336,20.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virgil_Enzooo01,2796606315,8.0,Unranked,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
mumei_sp,1008248050656,44.0,Unranked,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KalebHatesLife,2796649663,317.0,Silver,3,3777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shadow2312penny,2796530242,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生耶拿铁要少冰,1008248082765,322.0,Platinum,4,8706.0,22.0,220423.0,313.0,0.0,0.0,0.0,0.0
Wenil925,2796619309,46.0,Unranked,0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
ScubaSteve0241,2796618890,132.0,Rookie,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athleenia,2796604836,12.0,Rookie,4,138.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Travelers Pack,2796582995,1.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fldwd-600,2796551490,10.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genchizuma,2796593628,3.0,Unranked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4nic98-,2796557998,12.0,Unranked,0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
